LEVEL,Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2018-2019 Pass Rate,2019-2020 Pass Rate,2020-2021 Pass Rate,2018-2019 Adv Pass Rate,2019-2020 Adv Pass Rate,2020-2021 Adv Pass Rate,address,latitude,longitude,geoid_sd
SCH,8,Augusta County,30,Cassell Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,68,NA,61,18,NA,4,Cassell Elementary Augusta County,38.1307858,-78.8710143,NA
SCH,8,Augusta County,140,Churchville Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,73,NA,63,10,NA,5,Churchville Elementary Augusta County,38.22249,-79.1600562,NA
SCH,8,Augusta County,370,Craigsville Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,63,NA,19,6,NA,0,Craigsville Elementary Augusta County,38.0820361,-79.3807154,NA
SCH,8,Augusta County,842,Edward G. Clymore Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,62,NA,61,18,NA,6,Edward G. Clymore Elementary Augusta County,38.2460771,-78.9769293,NA
SCH,8,Augusta County,843,Guy K. Stump Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,66,NA,57,15,NA,6,Guy K. Stump Elementary Augusta County,38.0299488,-79.0349299,NA
SCH,8,Augusta County,40,North River Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,60,NA,60,11,NA,4,North River Elementary Augusta County,38.3147641,-79.0790887,NA
SCH,8,Augusta County,740,Riverheads Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,74,NA,75,23,NA,12,Riverheads Elementary Augusta County,38.0361053,-79.1408086,NA
SCH,8,Augusta County,440,Stuarts Draft Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,62,NA,62,16,NA,6,Stuarts Draft Elementary Augusta County,38.0470892,-79.0080547,NA
SCH,8,Augusta County,640,Wilson Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,64,NA,56,18,NA,6,Wilson Elementary Augusta County,38.1140247,-78.9905805,NA
SCH,9,Bath County,120,Millboro Elementary,Elem,PK,7,English: Reading,Gr 3,English Reading,95,NA,46,33,NA,8,Millboro Elementary Bath County,37.9774448,-79.6064783,5100330
