"geoid","year","NAME","measure","region_type","value"
51059451200,2021,"Census Tract 4512, Fairfax County, Virginia","average_years_schooling","tract",16.2265512265512
51059451300,2021,"Census Tract 4513, Fairfax County, Virginia","average_years_schooling","tract",15.939182194617
51059451400,2021,"Census Tract 4514, Fairfax County, Virginia","average_years_schooling","tract",12.4446360153257
51059451501,2021,"Census Tract 4515.01, Fairfax County, Virginia","average_years_schooling","tract",13.9788554355321
51059451502,2021,"Census Tract 4515.02, Fairfax County, Virginia","average_years_schooling","tract",14.9309512867647
51059451601,2021,"Census Tract 4516.01, Fairfax County, Virginia","average_years_schooling","tract",11.1099436186571
51059451602,2021,"Census Tract 4516.02, Fairfax County, Virginia","average_years_schooling","tract",14.64954288202
51059451800,2021,"Census Tract 4518, Fairfax County, Virginia","average_years_schooling","tract",14.5911199469848
51059451900,2021,"Census Tract 4519, Fairfax County, Virginia","average_years_schooling","tract",15.0556
51059452000,2021,"Census Tract 4520, Fairfax County, Virginia","average_years_schooling","tract",15.0629794105773
51059452101,2021,"Census Tract 4521.01, Fairfax County, Virginia","average_years_schooling","tract",14.1830845771144
51059452102,2021,"Census Tract 4521.02, Fairfax County, Virginia","average_years_schooling","tract",14.4591029023747
51059452200,2021,"Census Tract 4522, Fairfax County, Virginia","average_years_schooling","tract",13.771832460733
51059452301,2021,"Census Tract 4523.01, Fairfax County, Virginia","average_years_schooling","tract",13.4734004313444
51059452302,2021,"Census Tract 4523.02, Fairfax County, Virginia","average_years_schooling","tract",13.1775852734164
51059452400,2021,"Census Tract 4524, Fairfax County, Virginia","average_years_schooling","tract",14.1018811696778
51059452501,2021,"Census Tract 4525.01, Fairfax County, Virginia","average_years_schooling","tract",14.1343656343656
51059452502,2021,"Census Tract 4525.02, Fairfax County, Virginia","average_years_schooling","tract",13.6459505061867
51059452600,2021,"Census Tract 4526, Fairfax County, Virginia","average_years_schooling","tract",14.8807401666344
51059452700,2021,"Census Tract 4527, Fairfax County, Virginia","average_years_schooling","tract",13.9023638232271
51059452801,2021,"Census Tract 4528.01, Fairfax County, Virginia","average_years_schooling","tract",14.4788104984349
51059452802,2021,"Census Tract 4528.02, Fairfax County, Virginia","average_years_schooling","tract",15.0667497330011
51059460100,2021,"Census Tract 4601, Fairfax County, Virginia","average_years_schooling","tract",16.6020377128954
51059460200,2021,"Census Tract 4602, Fairfax County, Virginia","average_years_schooling","tract",16.8307743658211
51059460300,2021,"Census Tract 4603, Fairfax County, Virginia","average_years_schooling","tract",16.6502380952381
51059460400,2021,"Census Tract 4604, Fairfax County, Virginia","average_years_schooling","tract",16.6494925839188
51059460501,2021,"Census Tract 4605.01, Fairfax County, Virginia","average_years_schooling","tract",16.195202020202
51059460503,2021,"Census Tract 4605.03, Fairfax County, Virginia","average_years_schooling","tract",15.7103794642857
51059460504,2021,"Census Tract 4605.04, Fairfax County, Virginia","average_years_schooling","tract",15.67225950783
51059460600,2021,"Census Tract 4606, Fairfax County, Virginia","average_years_schooling","tract",16.3159560293138
51059460701,2021,"Census Tract 4607.01, Fairfax County, Virginia","average_years_schooling","tract",15.3684543918919
51059460702,2021,"Census Tract 4607.02, Fairfax County, Virginia","average_years_schooling","tract",16.3276553106212
51059460800,2021,"Census Tract 4608, Fairfax County, Virginia","average_years_schooling","tract",15.8425460636516
51059460900,2021,"Census Tract 4609, Fairfax County, Virginia","average_years_schooling","tract",16.3978436657682
51059461000,2021,"Census Tract 4610, Fairfax County, Virginia","average_years_schooling","tract",16.3787100456621
51059461100,2021,"Census Tract 4611, Fairfax County, Virginia","average_years_schooling","tract",16.1984282907662
51059461201,2021,"Census Tract 4612.01, Fairfax County, Virginia","average_years_schooling","tract",17.1073670300628
51059461202,2021,"Census Tract 4612.02, Fairfax County, Virginia","average_years_schooling","tract",16.1910913600661
51059461500,2021,"Census Tract 4615, Fairfax County, Virginia","average_years_schooling","tract",16.485925658607
51059461603,2021,"Census Tract 4616.03, Fairfax County, Virginia","average_years_schooling","tract",15.8068154547636
51059461604,2021,"Census Tract 4616.04, Fairfax County, Virginia","average_years_schooling","tract",15.3056915544676
51059461605,2021,"Census Tract 4616.05, Fairfax County, Virginia","average_years_schooling","tract",16.463785046729
51059461606,2021,"Census Tract 4616.06, Fairfax County, Virginia","average_years_schooling","tract",16.4446016030174
51059461700,2021,"Census Tract 4617, Fairfax County, Virginia","average_years_schooling","tract",15.9818788315903
51059461801,2021,"Census Tract 4618.01, Fairfax County, Virginia","average_years_schooling","tract",15.2095336076818
51059461802,2021,"Census Tract 4618.02, Fairfax County, Virginia","average_years_schooling","tract",15.8894799054374
51059461901,2021,"Census Tract 4619.01, Fairfax County, Virginia","average_years_schooling","tract",15.3215130023641
51059461902,2021,"Census Tract 4619.02, Fairfax County, Virginia","average_years_schooling","tract",12.3546218487395
51059470100,2021,"Census Tract 4701, Fairfax County, Virginia","average_years_schooling","tract",17.3616797900262
51059470300,2021,"Census Tract 4703, Fairfax County, Virginia","average_years_schooling","tract",16.9895330112721
51059470400,2021,"Census Tract 4704, Fairfax County, Virginia","average_years_schooling","tract",16.7691780821918
51059470500,2021,"Census Tract 4705, Fairfax County, Virginia","average_years_schooling","tract",16.954384186518
51059470600,2021,"Census Tract 4706, Fairfax County, Virginia","average_years_schooling","tract",16.1271561256081
51059470700,2021,"Census Tract 4707, Fairfax County, Virginia","average_years_schooling","tract",16.7563137445362
51059470800,2021,"Census Tract 4708, Fairfax County, Virginia","average_years_schooling","tract",16.8845975948196
51059470900,2021,"Census Tract 4709, Fairfax County, Virginia","average_years_schooling","tract",16.6470892180503
51059471000,2021,"Census Tract 4710, Fairfax County, Virginia","average_years_schooling","tract",16.923487544484
51059471100,2021,"Census Tract 4711, Fairfax County, Virginia","average_years_schooling","tract",15.5533386013433
51059471201,2021,"Census Tract 4712.01, Fairfax County, Virginia","average_years_schooling","tract",16.4259259259259
51059471203,2021,"Census Tract 4712.03, Fairfax County, Virginia","average_years_schooling","tract",16.6885964912281
51059471204,2021,"Census Tract 4712.04, Fairfax County, Virginia","average_years_schooling","tract",16.4387895460798
51059471301,2021,"Census Tract 4713.01, Fairfax County, Virginia","average_years_schooling","tract",15.5331609370246
51059471303,2021,"Census Tract 4713.03, Fairfax County, Virginia","average_years_schooling","tract",16.0459914101646
51059471304,2021,"Census Tract 4713.04, Fairfax County, Virginia","average_years_schooling","tract",16.5531004989309
51059471401,2021,"Census Tract 4714.01, Fairfax County, Virginia","average_years_schooling","tract",14.7548432546671
51059471402,2021,"Census Tract 4714.02, Fairfax County, Virginia","average_years_schooling","tract",13.739138576779
51059480100,2021,"Census Tract 4801, Fairfax County, Virginia","average_years_schooling","tract",16.5428076802015
51059480201,2021,"Census Tract 4802.01, Fairfax County, Virginia","average_years_schooling","tract",17.0233909415971
51059480203,2021,"Census Tract 4802.03, Fairfax County, Virginia","average_years_schooling","tract",16.114521300962
51059480204,2021,"Census Tract 4802.04, Fairfax County, Virginia","average_years_schooling","tract",16.9101700921332
